cpus=2
              ip-1803  [001] d.h3.   142.383790: funcgraph_entry:                   |                default_wake_function() {
              ip-1803  [001] d.h3.   142.383790: funcgraph_entry:                   |                  try_to_wake_up() {
              ip-1803  [001] d.h4.   142.383791: funcgraph_entry:        0.350 us   |                    _raw_spin_lock_irqsave(); (ret=0x96)
              ip-1803  [001] d.h5.   142.383791: funcgraph_entry:                   |                    select_task_rq_fair() {
              ip-1803  [001] d.h5.   142.383792: funcgraph_entry:        0.220 us   |                      choose_idle_cpu(); (ret=0x0)
              ip-1803  [001] d.h5.   142.383792: funcgraph_entry:        0.220 us   |                      cpus_share_cache(); (ret=0xffff88d964cf0000)
              ip-1803  [001] d.h5.   142.383793: funcgraph_exit:         1.190 us   |                    } (ret=0x1)
              ip-1803  [001] d.h5.   142.383793: funcgraph_entry:                   |                    ttwu_queue_wakelist() {
              ip-1803  [001] d.h5.   142.383793: funcgraph_entry:        0.210 us   |                      scx_allow_ttwu_queue(); (ret=0x1)
              ip-1803  [001] d.h5.   142.383793: funcgraph_exit:         0.650 us   |                    } (ret=0x0)
              ip-1803  [001] d.h5.   142.383794: funcgraph_entry:                   |                    raw_spin_rq_lock_nested.constprop.0() {
              ip-1803  [001] d.h6.   142.383794: funcgraph_entry:        0.200 us   |                      _raw_spin_lock(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383795: funcgraph_exit:         0.640 us   |                    } (ret=0x0)
              ip-1803  [001] d.h6.   142.383795: funcgraph_entry:                   |                    update_rq_clock() {
              ip-1803  [001] d.h6.   142.383795: funcgraph_entry:        0.210 us   |                      arch_scale_cpu_capacity(); (ret=0x400)
              ip-1803  [001] d.h6.   142.383796: funcgraph_exit:         0.770 us   |                    } (ret=0x0)
              ip-1803  [001] d.h6.   142.383796: funcgraph_entry:                   |                    ttwu_do_activate() {
              ip-1803  [001] d.h6.   142.383796: funcgraph_entry:                   |                      enqueue_task() {
              ip-1803  [001] d.h6.   142.383796: funcgraph_entry:                   |                        enqueue_task_fair() {
              ip-1803  [001] d.h6.   142.383797: funcgraph_entry:                   |                          update_curr() {
              ip-1803  [001] d.h6.   142.383797: funcgraph_entry:                   |                            update_se() {
